haveit,pubDate,title,link,description
1,1420250160000,02 01 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_02_01_2015.mp3,Arthur Petry
1,1420854960000,09 01 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_09_01_2015.mp3,Arthur Petry
1,1421459760000,16 01 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_16_01_2015.mp3,Arthur Petry
1,1422064560000,23 01 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_23_01_2015.mp3,Arthur Petry
1,1422661800000,30 01 2015,http://arthurpetry.com/podcastgen/?name=2015-12-10_30_01_2015.mp3,Arthur Petry
1,1423274160000,06 02 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_06_02_2015.mp3,Arthur Petry
1,1424310960000,18 02 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_18_02_2015.mp3,Arthur Petry
1,1425077760000,27 02 2015,http://arthurpetry.com/podcastgen/?name=2015-12-17_27_02_2015.mp3,Arthur Petry
0,1425088560000,27 02 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_27_02_2015.mp3,Arthur Petry
1,1425693360000,06 03 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_06_03_2015.mp3,Arthur Petry
1,1426294560000,13 03 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_13_03_2015.mp3,Arthur Petry
1,1426899360000,20 03 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_20_03_2015.mp3,Arthur Petry
1,1427493360000,27 03 2015,http://arthurpetry.com/podcastgen/?name=2015-12-17_27_03_2015.mp3,Arthur Petry
1,1427504160000,27 03 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_27_03_2015.mp3,Arthur Petry
1,1428800160000,11 04 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_11_04_2015.mp3,Arthur Petry
1,1429404960000,18 04 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_18_04_2015.mp3,Arthur Petry
1,1429923360000,24 04 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_24_04_2015.mp3,Arthur Petry
1,1430528160000,01 05 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_01_05_2015.mp3,Arthur Petry
1,1431132960000,08 05 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_08_05_2015.mp3,Arthur Petry
0,1431737760000,Sábado especial Maio 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_sabado_especial_1.mp3,Arthur Petry
1,1431737760000,15 05 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_15_05_2015.mp3,Arthur Petry
1,1432342560000,22 05 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_22_05_2015.mp3,Arthur Petry
1,1433540040000,05 06 2015,http://arthurpetry.com/podcastgen/?name=2015-12-10_05_06_2015.mp3,Arthur Petry
1,1434143940000,12 06 2015,http://arthurpetry.com/podcastgen/?name=2015-12-10_12_06_2015.mp3,Arthur Petry
0,1434416160000,Sábado Especial #2 Junho de 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_sabado_especial_2.mp3,Arthur Petry
1,1434748320000,19 06 2015,http://arthurpetry.com/podcastgen/?name=2015-12-10_19_06_2015.mp3,Arthur Petry
1,1435352400000,26 06 2015,http://arthurpetry.com/podcastgen/?name=2015-12-10_26_06_2015.mp3,Arthur Petry
1,1436733420000,12 07 2015,http://arthurpetry.com/podcastgen/?name=2015-12-10_12_07_2015.mp3,Arthur Petry
1,1441398060000,04 09 2015,http://arthurpetry.com/podcastgen/?name=2015-12-10_04_09_2015.mp3,Arthur Petry
0,1445976480000,Terça no Transito 1,http://arthurpetry.com/podcastgen/?name=2015-12-10_terca_no_transito_1.m4a,Podcast Episode
1,1446235440000,30 10 2015,http://arthurpetry.com/podcastgen/?name=2015-12-10_30_10_2015.mp3,Arthur Petry
1,1446842820000,06 11 2015,http://arthurpetry.com/podcastgen/?name=2015-12-10_06_11_2015.mp3,Arthur Petry
0,1447792680000,Terça no Trânsito 4,http://arthurpetry.com/podcastgen/?name=2015-12-10_terca_no_transito_4.mp3,Arthur Petry
1,1448051640000,20 11 2015,http://arthurpetry.com/podcastgen/?name=2015-12-10_20_11_2015.mp3,Arthur Petry
1,1448656440000,27 11 2015,http://arthurpetry.com/podcastgen/?name=2015-12-10_27_11_2015.mp3,Arthur Petry
1,1449280560000,04 12 2015,http://arthurpetry.com/podcastgen/?name=2016-01-06_04_12_2015.mp3,Arthur Petry
